beopjeongdong_code,sgis_code,sido,sigungu_name,dong_name,match_type,confidence,pip_hit_pct,note
41220101,31070520,경기,평택시,서정동,name,high,,
41220110,31070550,경기,평택시,지산동,name,high,,
41220114,31070610,경기,평택시,통복동,name,high,,
41220119,31070680,경기,평택시,동삭동,name,high,,
41220120,31070640,경기,평택시,세교동,name,high,,
41220124,31070660,경기,평택시,용이동,name,high,,
41220250,31070110,경기,평택시,팽성읍,name,high,,
41220253,31070120,경기,평택시,안중읍,name,high,,
41220256,31070130,경기,평택시,포승읍,name,high,,
41220259,31070140,경기,평택시,청북읍,name,high,,
41220310,31070310,경기,평택시,진위면,name,high,,
41220320,31070320,경기,평택시,서탄면,name,high,,
41220330,31070330,경기,평택시,고덕면,name,high,,
41220340,31070340,경기,평택시,오성면,name,high,,
41220370,31070370,경기,평택시,현덕면,name,high,,
41271102,31091740,경기,안산시 상록구,이동,name,high,,
41271103,31091760,경기,안산시 상록구,사동,name,high,,
41271107,31091570,경기,안산시 상록구,부곡동,name,high,,
41271108,31091620,경기,안산시 상록구,성포동,name,high,,
41271109,31091580,경기,안산시 상록구,월피동,name,high,,
41390118,31150670,경기,시흥시,능곡동,name,high,,
41390128,31150680,경기,시흥시,군자동,name,high,,
41390130,31150710,경기,시흥시,장곡동,name,high,,
41390131,31150690,경기,시흥시,월곶동,name,high,,
41461340,31191340,경기,용인시 처인구,원삼면,name,high,,
41461350,31191350,경기,용인시 처인구,백암면,name,high,,
41461360,31191360,경기,용인시 처인구,양지면,name,high,,
41480107,31200511,경기,파주시,교하동,name,high,,
41480250,31200110,경기,파주시,문산읍,name,high,,
41480253,31200120,경기,파주시,파주읍,name,high,,
41480256,31200130,경기,파주시,법원읍,name,high,,
41480262,31200150,경기,파주시,조리읍,name,high,,
41480310,31200310,경기,파주시,월롱면,name,high,,
41480320,31200320,경기,파주시,탄현면,name,high,,
41480350,31200350,경기,파주시,광탄면,name,high,,
41480360,31200360,경기,파주시,파평면,name,high,,
41480390,31200390,경기,파주시,장단면,name,high,,
41500101,31210510,경기,이천시,창전동,name,high,,
41500102,31210530,경기,이천시,관고동,name,high,,
41500103,31210520,경기,이천시,중리동,name,high,,
41500109,31210540,경기,이천시,증포동,name,high,,
41500253,31210120,경기,이천시,부발읍,name,high,,
41500310,31210310,경기,이천시,신둔면,name,high,,
41500320,31210320,경기,이천시,백사면,name,high,,
41500330,31210330,경기,이천시,호법면,name,high,,
41500340,31210340,경기,이천시,마장면,name,high,,
41500350,31210350,경기,이천시,대월면,name,high,,
41500360,31210360,경기,이천시,모가면,name,high,,
41500370,31210370,경기,이천시,설성면,name,high,,
41550310,31220310,경기,안성시,보개면,name,high,,
41550350,31220350,경기,안성시,대덕면,name,high,,
41550360,31220360,경기,안성시,양성면,name,high,,
41550390,31220390,경기,안성시,일죽면,name,high,,
41550400,31220400,경기,안성시,죽산면,name,high,,
41550410,31220410,경기,안성시,삼죽면,name,high,,
41550420,31220420,경기,안성시,고삼면,name,high,,
41570103,31230600,경기,김포시,운양동,name,high,,
41570104,31230560,경기,김포시,장기동,name,high,,
41570106,31230530,경기,김포시,사우동,name,high,,
41570107,31230540,경기,김포시,풍무동,name,high,,
41570108,31230640,경기,김포시,마산동,name,high,,
41570109,31230630,경기,김포시,구래동,name,high,,
41570250,31230110,경기,김포시,통진읍,name,high,,
41570253,31230120,경기,김포시,고촌읍,name,high,,
41570256,31230130,경기,김포시,양촌읍,name,high,,
41570340,31230340,경기,김포시,대곶면,name,high,,
41570350,31230350,경기,김포시,월곶면,name,high,,
41570360,31230360,경기,김포시,하성면,name,high,,
41590253,31240120,경기,화성시,봉담읍,name,high,,
41590256,31240130,경기,화성시,우정읍,name,high,,
41590259,31240140,경기,화성시,향남읍,name,high,,
41590262,31240150,경기,화성시,남양읍,name,high,,
41590330,31240350,경기,화성시,마도면,name,high,,
41590340,31240360,경기,화성시,송산면,name,high,,
41590350,31240370,경기,화성시,서신면,name,high,,
41590360,31240380,경기,화성시,팔탄면,name,high,,
41590370,31240390,경기,화성시,장안면,name,high,,
41590400,31240420,경기,화성시,양감면,name,high,,
41590410,31240430,경기,화성시,정남면,name,high,,
44131113,34011550,충남,천안시 동남구,봉명동,name,high,,
44131116,34011570,충남,천안시 동남구,신방동,name,high,,
44131250,34011110,충남,천안시 동남구,목천읍,name,high,,
44131310,34011310,충남,천안시 동남구,풍세면,name,high,,
44131330,34011330,충남,천안시 동남구,북면,name,high,,
44133103,34012580,충남,천안시 서북구,백석동,name,high,,
44133250,34012110,충남,천안시 서북구,성환읍,name,high,,
44133253,34012120,충남,천안시 서북구,성거읍,name,high,,
44133256,34012130,충남,천안시 서북구,직산읍,name,high,,
44133310,34012310,충남,천안시 서북구,입장면,name,high,,
44180250,34030110,충남,보령시,웅천읍,name,high,,
