산업단지,구분,당분기(억원),전분기(억원),2025누계(억원),증감률(전분기대비)(퍼센트)
서울,국가,43189.48017,41335.03973,43189.48017,4.486364241
녹산,국가,36600.15075,32823.53065,36600.15075,11.5058314
대구,국가,16636.05333,16633.55,16636.05333,0.015049904
남동,국가,82394.38077,83818.91414,82394.38077,-1.699536893
부평,국가,8452.740295,8882.341205,8452.740295,-4.836572917
주안,국가,14926.51733,13374.85617,14926.51733,11.60132974
광주첨단,국가,11820.59,21138.7175,11820.59,-44.08085543
빛그린,국가,849.23,908.035,849.23,-6.476071958
온산,국가,185019.5421,175078.783,185019.5421,5.677877642
울산ㆍ미포,국가,488288.4785,447558.6784,488288.4785,9.100438013
반월,국가,91019.4625,93246.97523,91019.4625,-2.388831083
용인첨단시스템반도체,국가,,,,
시화,국가,81129.51411,79525.4315,81129.51411,2.017068724
시화MTV,국가,13008.30269,12745.39832,13008.30269,2.062739537
송산그린시티,국가,,,,
파주탄현,국가,164.82,176.715,164.82,-6.731177319
동두천,국가,,,,
북평,국가,108.588,137.023,108.588,-20.75199054
오송생명과학,국가,9230.398,9035.606,9230.398,2.155826626
석문,국가,3377.575,3094.205,3377.575,9.158087457
아산,국가,45061.6635,45848.3725,45061.6635,-1.715892969
장항생태,국가,1090.24,842.53,1090.24,29.40073351
국가식품클러스터,국가,1223.9364,1247.4884,1223.9364,-1.887953427
국가식품클러스터(외),국가,,,,
군산,국가,9695.825,9517.01,9695.825,1.87889894
군산2,국가,10907.42452,10005.04762,10907.42452,9.019216491
익산,국가,5146.3875,4952.3425,5146.3875,3.918246769
광양,국가,51225.34333,48924.58333,51225.34333,4.702666519
대불,국가,5123.791857,5301.005,5123.791857,-3.343010294
대불(외),국가,617.708,1031.116,617.708,-40.09325818
여수,국가,229272.119,191022.9858,229272.119,20.0233145
구미,국가,115247.8226,115861.6035,115247.8226,-0.529753528
구미(외),국가,4795.09,4989.24,4795.09,-3.891374237
포항,국가,36554.4645,34102.2945,36554.4645,7.190630531
포항블루밸리,국가,173.4,173.32,173.4,0.046157397
경남항공,국가,,,,
밀양나노,국가,2863.74,1453.08,2863.74,97.08068379
안정,국가,1588.33,1435.51,1588.33,10.64569386
진해,국가,,,,
창원,국가,157499.0214,153316.7287,157499.0214,2.727877585
